sender,no_reacts,text,label
$USER2889,0,Dute dracu faaa matahala.Esti respinsa peste tit,ABUSE
$USER1218,2,Haideți să ieșim...dai in p..la noastră da muistii dreaq ... să-i linsam,ABUSE
$USER2885,0,Stefan Alina tu cu mă-ta,ABUSE
$USER1847,0,"Copii noștri NU sunt cobaii nimănui ,venim peste voi lichelelor .O sa dispăreți și voi și americanii de pe pământul nostru românesc",ABUSE
$USER0588,0,Sa te fut an gură ochelarist mincinos,ABUSE
$USER3860,0,Jandarmii pulii zdrențele dracu și mai ne vor în război să apărăm tara care tară tara jandarmii lor jos guvernul cu tot cu iohanis,ABUSE
$USER2026,1,sa il bagi lui mata prostane,ABUSE
$USER0308,0,Sclavii lumii am ajuns,ABUSE
$USER0415,3,"Terminati dracului cu caciuleala si cu slugarnicia ! Bogdan Chirieac ,esti o rusine ,marsi !",ABUSE
$USER0685,0,"Raysaray Martinez dute dumneata dracului unde vrei cu sfantul tv in brațe , deocamdata in tara mea am dreptul sa imi spun parerea.",ABUSE
$USER3291,0,Sa va fut in gura cei care scrieti bravo!!!,ABUSE
$USER2735,0,"Bă panaramă încuiată....habar nu ai unde ești.... ia-ți in pula mea un GPS, că te-ai rătăcit !!!! Jigodie injectată !!!!",ABUSE
$USER0181,0,"Rusii sunt PATRIOTI cu pretul vietii,nu pupa Curu la Satanisti",ABUSE
$USER1927,0,Ce inima sa aive nazistul de iohanis sau Neomarxistul de Câțu,ABUSE
$USER0258,0,Stați măi cu limbile scoase acum. Luati-o la lins!,ABUSE
$USER0866,0,Chiriac daca incepe războiul sau daca ne da arme tu sa fi primul și Pielea nu al doilea care să părăsiți țara...că nu va văd bine jegosilor,ABUSE
$USER1843,0,Sunteți vreo 50 de pacăliți aveți poză făcută de sus se împuținează prostimea se prinde că osânza asta e o șarlatană în slujba Rusiei o trădătoare jalnica ce vinde poporul român !!,ABUSE
$USER2920,0,Claudiu Paraschiv asa e ma-ta ?,ABUSE
$USER0193,0,"sa-i pis in freza pe toti globalistii oricum, mizerii",ABUSE
$USER1087,0,Deci tot PSD a fost curva de casa,ABUSE
$USER0666,0,Esti periculos mihai ai copi cu mata,ABUSE
$USER0984,0,Cu catu vom fi morti sau sclavi!!,ABUSE
$USER2245,1,Da ce crezi ca moldovenii ne considera fratii lor?? Si ca ei vor sa fie din nou a Romaniei?? Stau acolo ca viermele in hrean sint incredibil de tifnosi,ABUSE
$USER3586,0,Toate televiziunile sunt slugile lui slogoui de iohanis,ABUSE
$USER1452,4,Baaaai nazistulemar sa cîștige ucraina nu?marș dracu în america,ABUSE
$USER1696,0,Jos tot guvernul incompetent care ne-a dus la sapa de lemn!!! INCOMPETENTILOR! !!!! MIZERABILILOR !!!! TICALOSILOR !!!! FACETI LEGI DOAR VOUA SA VA MEARGA BINE !!!,ABUSE
$USER0699,0,UE CURVA LICURICILUI,ABUSE
$USER3731,0,Uiduhaaaa slugile lu mortaciunea de Johannes,ABUSE
$USER0504,1,Iau apucat criza pe psihopații care ne conduc la balamuc cu ei,ABUSE
$USER1235,0,Voi vorbiti ccurvelor din televiziune système satanist dute cu mata la razboi cu mata si hoti care à furat tara,ABUSE
$USER0613,0,dute dracu Neamțule,ABUSE
$USER0166,3,"Pe Putin nu lor ascultat nimeni de 8 ani a vorbit ci NATO, OMS Usa etc Zelinsky este un drogat nazist",ABUSE
$USER1154,1,Culcate tu ma gunoierule,ABUSE
$USER1824,1,Dute-n gâtu măti fe pupincurist și coadă de topor.,ABUSE
$USER1075,1,VOI NU FACEȚI NIMIC ÎN FAVOREA POPORULUI. DOAR LE DAȚI FACTURI MARI CA SĂ LE LUAȚI TOȚI BANI. TRĂZNIVAR ISUS DE HOȚI DRACULUI. ESTE 2500. RONI. UN SAC DE ÎNGRĂSĂMINTE ACUM.,ABUSE
$USER0404,3,Johanis Hitler ne trimite copii noștri la război și el se pitula in buncăr futui rasa lui de criminal,ABUSE
$USER4046,0,JAVRĂ ORDINARĂ. MERIȚI ARESTAT PE LOC.,ABUSE
$USER1734,0,Mizerabilii ăștia trebuie fugăriți din tara,ABUSE
$USER1227,0,"Ai dreacu lepre ,o lege sa putem sa i fugarim si sa i bagam in stare exceptionala da parnaie pannreferendum narional nu faceau?",ABUSE
$USER3107,0,În țigani și în bețivi să nu ai niciodată încredere!,ABUSE
$USER0322,0,Slugilor asta ați fost toată viata,ABUSE
