sender,no_reacts,text,label
$USER0999,0,Îl dăm pe iohanis Jos și arătat și pe tâlhari hoți și criminali de la putere????,OTHER
$USER0037,2,Criminali económici sā plateascā!,OTHER
$USER1637,0,"România NEUTRĂ ! Pace ! Pace ! Pace ! Pace ! Pace în scumpa ROMÂNIE și pe întreg Globul PAMÂNTESC . PACE ,LIBERTATE IN TOATE POPOARLE !",OTHER
$USER0703,0,"Martin Martin Normal. De acolo iese""ciubucul"".",OTHER
$USER0147,0,Principial e corect...,OTHER
$USER0224,0,Va dati mari si tari :))))),OTHER
$USER1668,0,VREM NEUTRALITATE !,OTHER
$USER1616,0,Felicitări!!La mulți ani!Multă sănătate și Doamne ocrotește ROMÂNIA!,OTHER
$USER0043,0,Lalatrine doar jocuri pe calculator:-))),OTHER
$USER0565,0,RUȘI O SĂ STEA ÎN CARANTINĂ,OTHER
$USER1399,0,sigur ? Care este? Ai aflat?,OTHER
$USER1260,1,"O dă după ""nu știm""",OTHER
$USER1833,0,Respect maxim pt cei prezenți!,OTHER
$USER1250,0,Dragi Romani astia vor ca noii Poporul sa nu stim ce legi vor sa dea acesti mafioti si Tradatorii din Guvern si Parlament care vor sa ne distruga Tara Rusine,OTHER
$USER1362,2,e adevarat ca s-a votat vaccinarea obligatorie in parlamentul european?? ne poate da domnul Terhes mai multe informatii despre ce implica asta??,OTHER
$USER1618,0,Diana Iovanovici Șoșoacă președinta României! Amin,OTHER
$USER0638,0,NU ....Nu mai avea tu nici o remarca,OTHER
$USER1546,3,"Myryam Myryam știm de mult asta, americanii sunt in spatele falsei pandemii si in spatele asa zisului război...!!!",OTHER
$USER1867,1,Să vă fie gura aurită d-omnul părinte Doamne ajută Romania și poporul român,OTHER
$USER0656,0,Hai faceti l si pe Luis agent,OTHER
$USER0897,0,Fii tare George nu te lasa pina la capat,OTHER
$USER0003,0,"Aici au inceput organizarii mici cu piticii verzii,deja se fac miscarii de implementare,Atentie !",OTHER
$USER1846,0,"In loc sa faceti ceva, aveti tot timpul de comentat, sa ti fie rusine",OTHER
$USER1370,0,"Haide pa că mi-am răpit destul timp ptr. o păpușă masonica ca tine ! Noapte bună popor talentat, te-am pupat...",OTHER
$USER1845,0,BRAVO ANGELO GIORGIANI.,OTHER
$USER0608,0,ah gata neamtule ... si tu ... tot .... trompeta bidenista ... asa e au facut bine ca i-au bombardat ...,OTHER
$USER0535,0,S-a blocat tot Bucureștiul din acest motiv!!!!Rusine!!!!!,OTHER
$USER0979,0,"Dar domnilor, in Italia nu sa terminat cu starea de alertă și cu covid!",OTHER
$USER0376,0,HuaaaaAaaaaaaaaaaaa,OTHER
$USER0252,0,Din furnicä faceti elefánt trâdâtorilor sa va fie rusine !!!,OTHER
$USER1001,3,Bine ca îi ajutam noi pe europenii și ei peste tot rad de noi,OTHER
$USER0150,0,Americanii au invatat din trecut?......,OTHER
$USER1891,0,Sa meargă Președintele țării cu ai lui sa lupte in prima linie. Noi nu vrem război. Nu i razboiul nostru.,OTHER
$USER1203,0,Parlamentarii as se duca,OTHER
$USER0084,0,"LUIS LAZARUS ȘI GEORGE SIMION, CE ZICEȚI DE ACEST SUSPECT RECENSĂMÂNT??????",OTHER
$USER0032,2,Respect pentru domnul Ion coja,OTHER
$USER0084,4,TRUMP ȘI PUTIN AU ȚINUT TOTUL IN FRÂU,OTHER
$USER0265,0,O fi vreo refugiată. Din America.,OTHER
$USER0838,0,pai eu vad un steag albastru galben,OTHER
$USER0104,0,Ma bucur ca domnul Neamtu are bunici din Dolj.,OTHER
$USER0045,2,Ceaușescu a fost omorât în ziua de Crăciun dece?,OTHER
$USER0070,0,Mult SUCCES si RESPECT.,OTHER
$USER1204,1,Alegeri anticipate votați Aur,OTHER
$USER0334,0,Americanilor! De ce nu o luați pe românia la voi în custodie? Și așa numai pe hartă o cunoaștem,OTHER
$USER1451,0,"V.ati îndepărtat de subiect, Se vede cu ochiul liber cum evitați să mai vorbiți de plandemie.Nu știu ce s.a întâmplat de v.ati schimbat așa",OTHER
$USER1075,0,POPORUL LA VOTAT. PE IOHANES. ACUM POPORUL CERE SĂ PLECE DIN GUVERNARE. JOS CU IOHANES.,OTHER
$USER1707,0,plecati ba cu rusii vostri,OTHER
$USER0594,3,"CINE A FORMAT NATO, CINE A FORMAT ONU, CINE A FORMAT OMS CINE A FORMAT FMI SAU UNIUNEA EUROPEANA ȘI MULTE ALTELE",OTHER
$USER0582,0,Cel mai iubit dintre pământeni ; Luis Lazarius !,OTHER
$USER1437,3,Sa vina Rusi..eu vreau ..si daca ancepw razboiul eu ma dau de partea Rusilor ..eu lupt su eu la razboi da va ampusc pe voi,OTHER
$USER0916,0,"Tudor panduru ""Patria este norodul, iară nu tagma jefuitorilor!""",OTHER
$USER0311,0,Covidul nea afectat lumea a rămas fără service si la noi e lumea amarata,OTHER
$USER1826,0,ASA ESTE ASA S-A FACUT ! AMIN !,OTHER
$USER0871,0,M-am convins si de Terhes și AUR și George Simion .,OTHER
$USER0555,0,"NICI IN PESCARA ,NUMAI EXISTA ULEI DE FLOAREA SOARELUI",OTHER
$USER1694,0,Ați votat un Președinte traficant și criminal,OTHER
$USER1055,0,Minte este fals Georgee,OTHER
$USER0935,2,Dar nu a atacat Putin!,OTHER
$USER0341,3,"Hmmm, istorică?Astia ca asta , când vine , vine cu vreun motiv , sper sa nu bage România in război...",OTHER
$USER0027,0,SI CE PROPUI DOMNULE TERHEȘ SA SARIM NOI ROMÂNII LA BEREGATA LUI PUTIN ?!,OTHER
$USER0273,0,"Vedeți-vă de treabă,de la amenințări la bombardat e foarte puțin.",OTHER
