sender,no_reacts,text,label
$USER2222,1,Când ti a furat tie ucraiana teritorii ??? Bai citiți dracu istoria și Terminați cu balivernele pe Facebook,PROFANITY
$USER1847,1,NEUTRALITATE ! Oculta mondiala vrea sânge ortodox ! Vor sa luptam frate cu frate ! Nu participam la ritualul lor satanic cu sânge creștin,PROFANITY
$USER1288,1,Faceți pe dracu voi sunteți buni de taiat frunze la câini,PROFANITY
$USER0254,0,"NU ACCEPTAȚI PORTOFELUL DIGITAL, NU ACCEPTAȚI RECESĂMÂNTUL SATANIC",PROFANITY
$USER0939,0,Sa îmi bag pula cum adică iar asa fie pandemie,PROFANITY
$USER2356,1,"Din cauza ca sintem rai, nu ne mai suporta D- zeu, de aia ne da numai nenorociri! Sa ne întoarcem la credință și rugăciuni. Satana face ce vrea cu noi!!!",PROFANITY
$USER3520,0,Pe ei mama dracului,PROFANITY
$USER4293,0,Este o piele de p#$la,PROFANITY
$USER1655,0,Mascarada covid mascarada razboi in ambele cazuri au suferit si sufera pulimea,PROFANITY
$USER2867,3,Pe scurt România este o cauza pierduta nu cred c-o mai valveaza nici dracu nu vad pe cineva în măsura sa ne scoată di căcat poate dacă se reincarneaza Ceaușescu,PROFANITY
$USER1227,0,S a scumpit barilu da cacat politic?,PROFANITY
$USER1365,0,"Războiul nostru al Romanilor e nenorocirea de stres ,Eu nu mai dorm !Am început s ma comport ca o nebuna !Lasa-ti dracu istoria !Vorbiți de pace mai mult",PROFANITY
$USER3340,0,Să se ducă dracului la puscarie da ce sa facem justiția diarme,PROFANITY
$USER1253,0,Ba laso dracului chear tu esti un globalist bine instruit,PROFANITY
$USER2167,1,Bă ... eram cu tine... cred că te-ai drogat ...nu ești să ătos.. tu cu cine plm ești ?,PROFANITY
$USER1380,0,"Păi, a fost pe vremea lui Bășina Porcului „cu afaceri”. Cunoaște foarte bine țara, dar la nivel înalt și secret.",PROFANITY
$USER1181,1,Îi manîmca în pla sa se bage si el în razboi pai nu îmi da mie mitraliera o sa mi se zică mister clier curăț tot,PROFANITY
$USER0501,0,Cine dracului a ma-i chemat-o și pe asta aici?,PROFANITY
$USER1210,0,Scoatem covidul și îi dăm cu criza că vine Putin!.. Să nu se teme poporul că nu va fi război în Română ....atunci la ce dracu vă trebuie rezervisti bolnavi să vă apere curul ?,PROFANITY
$USER3075,0,MA OAMENI VORBITI DE POMANA SCOATETI NAIBI OAMENI IN STRADA DATI PE FATA CE ASCUNDETI DE FRICA SI SPUNETI ADEVARUL CRUD SA DOARA PE FIECAREIN PARTE ASA SE VA IESI IN STRADA,PROFANITY
$USER1326,0,Satana cu agenții săi nu vor termina,PROFANITY
$USER0531,0,Să plece dracu de unde a venit !,PROFANITY
$USER0293,0,Baaaaaaa sa se duca de unde a venit in plm,PROFANITY
$USER1208,0,De ce dracu ne trebuiesc atitea ministere inutile...,PROFANITY
$USER0526,3,Dați bani la țărani noștri ca ei sunt baza săracilor nu tehnolgia pizdi,PROFANITY
$USER2156,2,Noi la cat de paduchi suntem mai bine am sta naibi in banca noastra ca ne face cacat daca vrea Putin !,PROFANITY
$USER0328,0,Ionut Grm cu suturi in cur be vor ajuta,PROFANITY
$USER1353,0,Romania trebuie sa iasa din UE fratilor Nu aceptati vacinul satanic ca muriti ca in Europa,PROFANITY
$USER2192,0,Las o dracului de revoluție c aia n a fost revoluție,PROFANITY
$USER1688,0,"AUR ,șterge refugiații la cur !!!!",PROFANITY
$USER2696,2,In timpul războiului voi faceți pregătiri de apărare refaceți pe dreacu,PROFANITY
$USER0583,3,Eu nu va cred . Voi santeti americani . Ce a făcut zelenski în 2020 a interzis romana în Ucraina . Satele Cernăuți etc căutați dracu istorie,PROFANITY
$USER0456,0,"Pace !!! Asistăm la câtă putere are Iohanis și ce coaie are Vicepreședintele SUA. Întrebarea este de ce nu merge in Polonia , Ungaria, Letonia?",PROFANITY
$USER1258,0,"Cine draku o sa va apere pe voi,va salutam din caraibe",PROFANITY
$USER2281,0,Pai taiati dracu din pensiile speciale... Sa bagati acei bani in reparatii s au cumparate altele noi... Ce dracu vorbim?,PROFANITY
$USER1326,0,Draci conduce cu Politica,PROFANITY
$USER1326,1,Satana vrea să ne omoare pe toti,PROFANITY
$USER0283,0,Dar cât sta aia sa iasă din avion..s a cacat cumva,PROFANITY
$USER3072,0,"Panarama asta Coarna ,inainte sau chiar dupa ...a intra in Cuima Rosie ...nu spunea asta cu cu 15miliarde platite si de psd ,jegule acum ai glas",PROFANITY
$USER3557,0,Mai taci dracu din gura bolsevicule,PROFANITY
$USER0912,0,Mai lasatine dracu ca. Neati omorat,PROFANITY
$USER2390,0,"Cel mai mult mi-a placut asta cu : de la Marea Dracu- pina la Marea Lacu "" !!!!!",PROFANITY
$USER0192,3,TERHESE IAR ABEREZI CU ALIANTA DEFENSIVA? NATO E CRIMINALUL PLANETEI..CE DREAQ NU INTELEGI? 183 DE STATE ATACATE DE EI.CINE IN ISSTORIA UMANITATII A MAI FACUT ASTA?,PROFANITY
$USER2971,0,"Stiti bancul ala cu ""ne-au cautat si in cur si nu ne-au gasit""? Cam asa este cu recensamantul.",PROFANITY
$USER3650,0,A aparut coaie agent,PROFANITY
$USER3250,0,"Romanii pleaca,,apoi aveti pretentii sa se intoarca pt recrutare,,va veni dracu,,diaspora nu se intiarce pt curu vostru,,,",PROFANITY
$USER0264,0,Nu va mai satura satana de a face rau,PROFANITY
$USER3255,3,Hai laso naibii gata stirile cu covidu hai cu razboiul,PROFANITY
$USER3059,0,Bai puțin da dracu o bomba și la noii ca degeaba trăim una nucleara,PROFANITY
$USER0379,0,Vă mâncă în cur .Nu o să mai plece ăștia? Ce o să mai furați?Ăștia ne ia tot vouă că de la noi săracii nu au decât viața.,PROFANITY
$USER2744,0,Ați înnebunit dracu cu războiu vostru în loc sa vorbiți de legile care le da parlamentari globalisti,PROFANITY
$USER0367,0,Sigur America este cu tine!!! De ce draku nu plecați din țara asta?,PROFANITY
$USER0848,0,Respira si articuleaza dracului mai fa o pausa un stop,PROFANITY
$USER1223,0,Daci minciuna continua sa nu ce dracu de carantina la o simpla gripa.,PROFANITY
$USER3250,1,"Mai bine dati dracu tom si jerry,,ca la asta poate va crede lumea,,",PROFANITY
$USER2606,0,Ce dracu nu avem ce cauta acolo ce I care vorbesc fără cap nebuni,PROFANITY
$USER0215,4,Ce dracu mai cauta si asta sau asta,PROFANITY
$USER0663,0,Ne apără NATO ... pe drc. ..,PROFANITY
$USER3625,0,Pt ce plm mai protestati? Nu v-ati plictisit de circ?,PROFANITY
$USER1054,0,Poi noi sîntem Pula,PROFANITY
$USER0195,0,"Atunci de ce dr,,, nu ne impusca sa ne omoare directtttt",PROFANITY
$USER1325,0,Pune-te frate cu dracu pana treci puntea.!,PROFANITY
$USER0448,1,Scapam de dk dam de tasu!...:))) o ardem pe criza...alerta era demodat!,PROFANITY
$USER0255,0,Iohanita se spală la cur,PROFANITY
$USER2717,0,Luptăm și noi dar tu cu 100 de metri înaintea noastră să nu dea dracu să fugi,PROFANITY
$USER0220,2,"Ne liniștim pe dracu , asta nu vine degeaba , e ceva sigur",PROFANITY
$USER1285,1,"Chemati romanii la arme, atunci sa vedeti voi foc de artificii la cwrwl vostru!",PROFANITY
$USER1326,0,Satana știe că nu mai are mult de trăit și acum turbeaza vrea sa ne omare pe toți,PROFANITY
$USER3042,0,Ducețiva dracu la Moscova!!,PROFANITY
$USER1373,0,"SI AMERICA CE A FACUT MAI NENE ? LASO DARQ, RUSIA ACUM INTOARCE PAMANTUL PE DOS ? DAR CATE RAZBOAIE A PURTAT ? AMERICA CAND A INVADAT YUGOSLAVIA NU A MAI FOST AMENINTARE PENTRU ROMANIA ?",PROFANITY
$USER3591,0,Alo jandarmeria ducetiva la lupta la razboi nu stati si paziti luumea la cur nesimtitilo,PROFANITY
$USER0246,0,Milus Ravasi Vb frumos în p mea,PROFANITY
$USER3826,0,"Dacă era un protest pro PNL era libera trecere. Treceți fraților, ce dracu e asta dictatura pe fata.",PROFANITY
$USER0638,0,"Atunci stai naibi la mijloc , ca-i mai bine asa !",PROFANITY
$USER1419,0,Nicu Buculeasa a fost razboi pt.teritorii acum razboiul este intre dumnezeu si diavol. Intre crestini si satanisti. Satanistii vor face raca intre tari crestine pt. Al mania pe dumnezeu.,PROFANITY
$USER1559,0,Întrebare. Ce dracu fac ăștia cu atâția bani? Când o sa zică ajunge,PROFANITY
$USER1583,0,"Unde dracul estei libera Sosoaca? Acu. Ne cheamă la arme, abia aștept sa spun mai pe departe, o viata am!",PROFANITY
$USER0595,0,Și cum mama dracului săi ia că evreul rusiei și cu ăla al ucrainiei se omoară între eii?,PROFANITY
