sender,no_reacts,text,label
$USER1158,0,"Ministrul Apărării este un bou,o conserva nenorocita",INSULT
$USER2909,2,"Sa o pupi in k..r, batran si prost",INSULT
$USER1934,0,Români PROSTI Din Naștere vor Război vor sa își omoare copiii,INSULT
$USER2410,0,SANATATE MULTĂ.. ÎȚI DORESC...MULTĂ BAFTA . IN LUPTA CARE O DUCI... PACAT CĂ OMUL BUN .. ESTE BATJOCURIT. GUVERNUL E UN MARE TICALOS,INSULT
$USER2538,0,Iesiti naibi afara prosti de Romani,INSULT
$USER1441,0,Sandita Ileana stie pe dracu .eu cred ca era cel mai prost profesor in cluj.se vede pe fata lui ca nu stie sa lege doua cuvinte.de nu iar mai muri multi inaintea lui de neghiob,INSULT
$USER1429,0,Terhes nu te mai lua de Rusi frustatule,INSULT
$USER1765,1,Marsh mah terminatilor,INSULT
$USER1459,0,Terheș este trimis de americanii să ne prostească Marș Terheș la Rostchild,INSULT
$USER0915,0,"Luis avem niște papagali în guvern și la conducerea țării, sunt niște nenorociți",INSULT
$USER1943,1,mă piș pe tine graso,INSULT
$USER1046,0,Terhes marș la gigi24,INSULT
$USER4191,0,A VENIT SECOLUL PREA REPEDE. AI PREA PROST PENTRU SECOLUL ASTA,INSULT
$USER0390,0,Ce pr sunt catu si ciolacu,INSULT
$USER0493,0,"Mars globalistule ! Nu cred ca rusii au invadat tari intregi cum au facut "" sua ( sula ta )",INSULT
$USER2571,0,D-na nu-ti pune mintea cu toti prosti,INSULT
$USER0400,2,Ce nenorocit si lincau esti Chiriac.,INSULT
$USER2261,0,"Mda uni au voie sa faca aliante alti nu au voie,lasa ca si Americani acelas cacat au mestecat",INSULT
$USER0021,2,Adevarat ce spuneti prosti nu pricep,INSULT
$USER1046,0,Ucraina nu are granițele delimitate la ONU bă nefericitule,INSULT
$USER2477,0,Mulți români îs proști că-s prea îngâmfați,INSULT
$USER0342,0,Nu este prost cine cere prost este cine plătește adică noi poporul,INSULT
$USER2909,0,Prost esti....ca noaptea..,INSULT
$USER0950,0,România este in curul gol! Dar avem NATO!,INSULT
$USER2973,0,Nu am Energie ptr prosti Dar ii strang de gat cand dorm,INSULT
$USER3368,0,Unde dracu ai găsit atati prosti? Lasă.i sa stea la coada la ulei....,INSULT
$USER0228,0,Marș la DIGI 24 și Guvern!,INSULT
$USER1771,0,La multi ani !!Noi vrem pace nenorociti vor sa ne omoare cu planurile lor de evrei,INSULT
$USER1229,1,Asta de la PSD este un lingău penibil,INSULT
$USER2321,0,AR FI BINE SA I URCAM PE NENOROCITII ASTIA DE LA BUTOANE IN PRIMUL ELICOPTER CUMPARAT SI SA SCAPAM DRACULUI DE EI CA NU SE MAI POATE .,INSULT
$USER3787,0,Mulți prosti mai sunt pe lumea asta.,INSULT
$USER0372,0,Mănânci mult rahat..!,INSULT
$USER4039,0,Când se supără poporul o să săriți în aer mai ceva ca Ucraina câinilor de jandarmi,INSULT
$USER0443,0,"Kk asta de Chiriac ce papa tot kk, cu cat e platit pt propaganda si dezinformarea ce o face? Si cat suntem obligati sa.i mai suportam prezenta",INSULT
$USER0115,4,Terhes este idiot sau se preface! Observati cum le intoarce? Nu condamna deloc guvernul Ukrainian.,INSULT
$USER1605,2,Mars în Ucraina.,INSULT
$USER1323,1,Hai să schimbăm canalul marș tv de c..,INSULT
$USER3188,0,Trei inteligenți,INSULT
$USER0366,0,POPULAȚIE INCULTĂ ...ĂȘTIA SÎNTEȚI VOI ROMĂNI.....HUOOOOO,INSULT
$USER2782,0,"Marș la al 4 Lea vaccin..., normalule , vouă ăstora va da și bon de masă.",INSULT
$USER2842,2,Proasta din păpușoi.. te-ai trezit?,INSULT
$USER2250,2,Putin a vrut sa ne trimita aurul dar idioții care ne au condus au refuzat! Si turistul de Ioha se gândește cum dracu sa faca sa ne bage in război cu forța!,INSULT
$USER3013,2,Barancea Mariana Alexandr Mars la cotet,INSULT
$USER0017,0,"Neamțu, asta-i prost rău:)",INSULT
$USER1197,1,Feriți-vă ca nu se știe niciodată ce îți poate oferi viata generali de rahat ce sunteți.,INSULT
$USER1775,0,Pace vrem nu razboi .La război să meargă golanii care vor război.,INSULT
$USER2873,0,"Cand esti prost ,faci ce ti zic altii.",INSULT
